股票代码,股票名称,所属市场,更新时间
sh603557,ST起步,上证A股,2025-06-27 17:47:07
sh603861,白云电器,上证A股,2025-06-27 17:47:07
sh603113,金能科技,上证A股,2025-06-27 17:47:07
sh603959,ST百利,上证A股,2025-06-27 17:47:07
sh688191,智洋创新,科创板,2025-06-27 17:47:07
sh603398,*ST沐邦,上证A股,2025-06-27 17:47:07
sh600289,*ST信通,上证A股,2025-06-27 17:47:07
sh603838,*ST四通,上证A股,2025-06-27 17:47:07
sh603933,睿能科技,上证A股,2025-06-27 17:47:07
sh600234,科新发展,上证A股,2025-06-27 17:47:07
sh600338,西藏珠峰,上证A股,2025-06-27 17:47:07
sh603063,禾望电气,上证A股,2025-06-27 17:47:07
sh688362,甬矽电子,科创板,2025-06-27 17:47:07
sh688579,山大地纬,科创板,2025-06-27 17:47:07
sh600810,神马股份,上证A股,2025-06-27 17:47:07
sh603181,皇马科技,上证A股,2025-06-27 17:47:07
sh601168,西部矿业,上证A股,2025-06-27 17:47:07
sh600250,南京商旅,上证A股,2025-06-27 17:47:07
sh688143,长盈通,科创板,2025-06-27 17:47:07
sh600446,金证股份,上证A股,2025-06-27 17:47:07
sh603086,先达股份,上证A股,2025-06-27 17:47:07
sh688205,德科立,科创板,2025-06-27 17:47:07
sh688073,毕得医药,科创板,2025-06-27 17:47:07
sh603123,翠微股份,上证A股,2025-06-27 17:47:07
sh600732,爱旭股份,上证A股,2025-06-27 17:47:07
sh605567,春雪食品,上证A股,2025-06-27 17:47:07
sh688800,瑞可达,科创板,2025-06-27 17:47:07
sh688510,航亚科技,科创板,2025-06-27 17:47:07
sh603818,曲美家居,上证A股,2025-06-27 17:47:07
sh688222,成都先导,科创板,2025-06-27 17:47:07
sh601899,紫金矿业,上证A股,2025-06-27 17:47:07
sh603223,恒通股份,上证A股,2025-06-27 17:47:07
sz300993,玉马科技,创业板,2025-06-27 17:47:07
sz300650,太龙股份,创业板,2025-06-27 17:47:07
sz300991,创益通,创业板,2025-06-27 17:47:07
sz300965,恒宇信通,创业板,2025-06-27 17:47:07
sz301024,霍普股份,创业板,2025-06-27 17:47:07
sz300536,农尚环境,创业板,2025-06-27 17:47:07
sz300414,中光防雷,创业板,2025-06-27 17:47:07
sz300697,电工合金,创业板,2025-06-27 17:47:07
sz301408,华人健康,创业板,2025-06-27 17:47:07
sz301205,联特科技,创业板,2025-06-27 17:47:07
sz301357,北方长龙,创业板,2025-06-27 17:47:07
sz301678,新恒汇,创业板,2025-06-27 17:47:07
sz301125,腾亚精工,创业板,2025-06-27 17:47:07
sz300591,万里马,创业板,2025-06-27 17:47:07
sz301315,威士顿,创业板,2025-06-27 17:47:07
sz300215,电科院,创业板,2025-06-27 17:47:07
sz300501,海顺新材,创业板,2025-06-27 17:47:07
sz301439,泓淋电力,创业板,2025-06-27 17:47:07
sz300233,金城医药,创业板,2025-06-27 17:47:07
sz002721,金一文化,深证A股,2025-06-27 17:47:07
sz300995,奇德新材,创业板,2025-06-27 17:47:07
sz000700,模塑科技,深证A股,2025-06-27 17:47:07
sz002185,华天科技,深证A股,2025-06-27 17:47:07
sz000065,北方国际,深证A股,2025-06-27 17:47:07
sz000737,北方铜业,深证A股,2025-06-27 17:47:07
sz000026,飞亚达,深证A股,2025-06-27 17:47:07
sz002205,国统股份,深证A股,2025-06-27 17:47:07
sz002940,昂利康,深证A股,2025-06-27 17:47:07
sz000062,深圳华强,深证A股,2025-06-27 17:47:07
sz001317,三羊马,深证A股,2025-06-27 17:47:07
sz002882,金龙羽,深证A股,2025-06-27 17:47:07
sz001359,平安电工,深证A股,2025-06-27 17:47:07
sz001298,好上好,深证A股,2025-06-27 17:47:07
sz002402,和而泰,深证A股,2025-06-27 17:47:07
sz002104,恒宝股份,深证A股,2025-06-27 17:47:07
sz002048,宁波华翔,深证A股,2025-06-27 17:47:07
sz001236,弘业期货,深证A股,2025-06-27 17:47:07
sz002579,中京电子,深证A股,2025-06-27 17:47:07
sz002263,大东南,深证A股,2025-06-27 17:47:07
sz002900,哈三联,深证A股,2025-06-27 17:47:07
sz002467,二六三,深证A股,2025-06-27 17:47:07
sz000868,安凯客车,深证A股,2025-06-27 17:47:07
sz002210,飞马国际,深证A股,2025-06-27 17:47:07
sz300253,卫宁健康,创业板,2025-06-27 17:47:07
sz300370,安控科技,创业板,2025-06-27 17:47:07
sz002951,金时科技,深证A股,2025-06-27 17:47:07
sz300798,锦鸡股份,创业板,2025-06-27 17:47:07
sz002484,江海股份,深证A股,2025-06-27 17:47:07
sz002724,海洋王,深证A股,2025-06-27 17:47:07
sz300947,德必集团,创业板,2025-06-27 17:47:07
sz300887,谱尼测试,创业板,2025-06-27 17:47:07
sz300620,光库科技,创业板,2025-06-27 17:47:07
sz301533,威马农机,创业板,2025-06-27 17:47:07
sz301213,观想科技,创业板,2025-06-27 17:47:07
sz300518,新迅达,创业板,2025-06-27 17:47:07
sz301019,宁波色母,创业板,2025-06-27 17:47:07
sz300300,ST峡创,创业板,2025-06-27 17:47:07
sz301173,毓恬冠佳,创业板,2025-06-27 17:47:07
sz300811,铂科新材,创业板,2025-06-27 17:47:07
sz300308,中际旭创,创业板,2025-06-27 17:47:07
sz301178,天亿马,创业板,2025-06-27 17:47:07
sz002444,巨星科技,深证A股,2025-06-27 17:47:07
sz300016,北陆药业,创业板,2025-06-27 17:47:07
sz300672,国科微,创业板,2025-06-27 17:47:07
sz002181,粤 传 媒,深证A股,2025-06-27 17:47:07
sz301338,凯格精机,创业板,2025-06-27 17:47:07
sz300843,胜蓝股份,创业板,2025-06-27 17:47:07
sz300159,*ST新研,创业板,2025-06-27 17:47:07
sz300725,药石科技,创业板,2025-06-27 17:47:07
sz002055,得润电子,深证A股,2025-06-27 17:47:07
sz301197,工大科雅,创业板,2025-06-27 17:47:07
sz002276,万马股份,深证A股,2025-06-27 17:47:07
sz000960,锡业股份,深证A股,2025-06-27 17:47:07
sz300903,科翔股份,创业板,2025-06-27 17:47:07
sz301283,聚胶股份,创业板,2025-06-27 17:47:07
sz000059,华锦股份,深证A股,2025-06-27 17:47:07
sz301141,中科磁业,创业板,2025-06-27 17:47:07
sz301077,星华新材,创业板,2025-06-27 17:47:07
sz300870,欧陆通,创业板,2025-06-27 17:47:07
sz300401,花园生物,创业板,2025-06-27 17:47:07
sz300120,经纬辉开,创业板,2025-06-27 17:47:07
sz300121,阳谷华泰,创业板,2025-06-27 17:47:07
sz000545,金浦钛业,深证A股,2025-06-27 17:47:07
sz300240,飞力达,创业板,2025-06-27 17:47:07
sz300818,耐普矿机,创业板,2025-06-27 17:47:07
sz300502,新易盛,创业板,2025-06-27 17:47:07
sz300959,线上线下,创业板,2025-06-27 17:47:07
sz300013,新宁物流,创业板,2025-06-27 17:47:07
sz300568,星源材质,创业板,2025-06-27 17:47:07
sz003026,中晶科技,深证A股,2025-06-27 17:47:07
sz301622,英思特,创业板,2025-06-27 17:47:07
sz300101,振芯科技,创业板,2025-06-27 17:47:07
sz300866,安克创新,创业板,2025-06-27 17:47:07
sz301391,卡莱特,创业板,2025-06-27 17:47:07
sz300184,力源信息,创业板,2025-06-27 17:47:07
sz300688,创业黑马,创业板,2025-06-27 17:47:07
sz300913,兆龙互连,创业板,2025-06-27 17:47:07
sz002898,*ST赛隆,深证A股,2025-06-27 17:47:07
sz002015,协鑫能科,深证A股,2025-06-27 17:47:07
sz000572,海马汽车,深证A股,2025-06-27 17:47:07
